,City,Country,City_ID,Date,Lat,Long,Cloudiness,Humidity,Max_Temp,Wind_Speed
80,Hofn,IS,2630299,1584323805,64.25,-15.21,100,67,41.2,34.27
81,Conde,BR,3385077,1584324071,-7.26,-34.91,100,94,77.0,3.29
82,Gornyy,RU,1506254,1584324065,55.12,83.91,100,92,35.15,26.04
83,Lavrentiya,RU,4031637,1584324037,65.58,-171.0,0,83,25.83,7.25
84,Khatanga,RU,2022572,1584324071,71.97,102.5,19,93,-25.28,11.5
85,Porto-Novo,BJ,2392087,1584324072,6.5,2.6,40,88,82.4,12.75
86,Jieshi,CN,1805857,1584324072,22.81,115.83,15,57,66.99,13.22
87,Cape Town,ZA,3369157,1584323982,-33.93,18.42,20,68,64.99,16.11
88,Punta Arenas,CL,3874787,1584323845,-53.15,-70.92,75,76,57.2,18.34
89,Hokitika,NZ,2206894,1584324072,-42.72,170.97,0,74,61.57,14.85
90,Dąbrowa Górnicza,PL,3100796,1584324073,50.32,19.24,12,54,32.0,6.93
91,Hervey Bay,AU,2146219,1584324073,-25.3,152.85,75,50,78.8,17.22
92,Khovd,MN,1516048,1584324073,48.01,91.64,3,20,35.8,3.71
93,Cururupu,BR,3401148,1584323960,-1.83,-44.87,100,99,73.63,3.15
94,Comodoro Rivadavia,AR,3860443,1584324001,-45.87,-67.5,81,63,62.6,3.36
95,Dikson,RU,1507390,1584324073,73.51,80.55,100,100,-14.04,8.28
96,Kyzyl-Suu,KG,1527497,1584324073,42.34,78.0,0,49,35.71,3.91
97,Rocha,UY,3440777,1584324008,-34.48,-54.33,26,91,53.87,2.37
98,Cabo San Lucas,MX,3985710,1584324013,22.89,-109.91,75,68,71.01,8.25
99,Provideniya,RU,4031574,1584324074,64.38,-173.3,90,92,24.8,8.95
100,Chokurdakh,RU,2126123,1584324012,70.63,147.92,0,87,-9.85,5.7
101,San Antonio,US,4726206,1584323936,29.42,-98.49,90,72,71.01,6.93
102,Pevek,RU,2122090,1584323982,69.7,170.31,0,82,7.54,12.26
103,Bengkulu,ID,1649150,1584323980,-3.8,102.27,74,58,88.81,1.43
104,Petropavlovsk-Kamchatskiy,RU,2122104,1584324074,53.05,158.65,90,100,33.8,20.13
105,Esperance,AU,2071860,1584324075,-33.87,121.9,40,73,73.4,6.93
106,Chokwé,MZ,1048364,1584324075,-24.53,32.98,19,92,73.53,7.02
107,Kunshan,CN,1785623,1584324075,31.38,120.95,0,35,57.2,8.95
108,Ponta do Sol,PT,2264557,1584323917,32.67,-17.1,40,67,62.6,8.05
109,Olupona,NG,2326302,1584324075,7.6,4.18,0,89,76.78,3.2
110,Vredendal,ZA,3359736,1584324075,-31.67,18.5,0,62,64.02,12.44
111,Saint Paul Harbor,US,5866583,1584323993,57.79,-152.41,40,64,39.2,5.82
112,Kulhudhuffushi,MV,1337613,1584324076,6.62,73.07,79,74,82.99,5.57
113,San Cristobal,VE,3628473,1584324076,7.77,-72.22,20,65,78.8,4.7
114,Kirovsk,UA,705809,1584324076,48.64,38.64,0,62,27.3,9.01
115,Vicuña,CL,3868308,1584324076,-30.03,-70.71,90,87,60.8,3.36
116,Butaritari,KI,2110227,1584324010,3.07,172.79,88,78,84.04,13.04
117,Atuona,PF,4020109,1584323925,-9.8,-139.03,0,65,82.2,8.75
118,Rincon,US,4218882,1584323898,32.3,-81.24,20,88,69.8,18.34
119,Egvekinot,RU,4031742,1584324077,66.32,-179.17,99,96,11.19,3.47
120,Kahului,US,5847411,1584323937,20.89,-156.47,40,61,82.4,12.75
121,Solnechnyy,RU,2016307,1584324077,50.72,136.63,65,88,16.5,5.48
122,Avarua,CK,4035715,1584323575,-21.21,-159.78,100,79,84.2,6.93
123,Yamada,JP,2110560,1584324077,39.47,141.95,62,69,43.77,8.01
124,Mahébourg,MU,934322,1584324038,-20.41,57.7,40,94,73.99,3.36
125,Duluth,US,5024719,1584324077,46.78,-92.11,75,80,32.0,17.22
126,Constitución,CL,3893726,1584324012,-35.33,-72.42,0,80,53.01,5.91
127,Caxito,AO,2242001,1584324078,-8.58,13.66,75,83,80.6,3.36
128,Canchungo,GW,2373951,1584324078,12.07,-16.03,51,78,75.2,4.7
129,Mar del Plata,AR,3430863,1584324033,-38.0,-57.56,75,87,60.01,3.36
130,Laas,IT,3175096,1584324027,46.62,10.7,5,85,32.0,1.12
131,Auki,SB,2109701,1584323987,-8.77,160.7,100,74,84.18,13.15
132,Prince Rupert,CA,6113406,1584324078,54.32,-130.32,1,48,44.6,3.36
133,Abu Samrah,SY,172515,1584324078,35.3,37.18,2,86,51.85,4.85
134,Pisco,PE,3932145,1584324079,-13.7,-76.22,20,83,73.4,12.75
135,Upernavik,GL,3418910,1584323927,72.79,-56.15,0,78,-22.16,6.15
136,Iqaluit,CA,5983720,1584324079,63.75,-68.51,90,77,-2.0,4.7
137,Te Anau,NZ,2181625,1584324079,-45.42,167.72,98,72,49.69,9.01
138,Saldanha,ZA,3361934,1584324050,-33.01,17.94,99,63,62.6,9.17
139,Kampong Chhnang,KH,1831166,1584324079,12.17,104.55,0,48,88.47,6.42
140,Rawson,AR,3839307,1584323944,-43.3,-65.1,79,66,64.27,20.18
141,Kushima,JP,1895695,1584324080,31.46,131.23,20,39,51.8,11.41
142,Nikolskoye,RU,546105,1584323932,59.7,30.79,40,59,33.8,8.95
143,Panacan,PH,1695751,1584324080,9.25,118.41,20,62,86.0,11.41
144,Gundorovskiy,RU,557984,1584324080,46.78,41.9,44,48,27.82,5.48
145,Saint Anthony,US,5044290,1584324080,45.02,-93.22,75,59,37.0,5.82
146,Boca do Acre,BR,3664956,1584324080,-8.75,-67.4,100,93,76.5,1.77
147,Yangi Marg`ilon,UZ,1513491,1584324080,40.43,71.72,100,31,50.0,9.17
148,Båtsfjord,NO,780717,1584324035,70.63,29.72,100,69,12.94,1.79
149,Oddur,SO,49747,1584324081,4.12,43.89,13,95,70.2,11.88
150,Zhiletovo,RU,463053,1584324081,54.69,36.02,0,79,21.2,8.95
151,Batemans Bay,AU,2176639,1584324081,-35.72,150.18,57,66,69.01,1.99
152,Danville,US,4755280,1584323932,36.59,-79.39,90,70,48.0,4.7
153,Sendai,JP,2111149,1584324081,38.27,140.87,75,58,46.99,9.17
154,Tuatapere,NZ,2180815,1584323949,-46.13,167.68,78,75,54.0,15.01
155,Remanso,BR,3408064,1584324082,-9.62,-42.08,100,75,76.35,3.74
156,Dunda,TZ,160141,1584324082,-8.12,34.25,100,96,64.4,2.77
157,Bethel,US,5282297,1584323993,41.37,-73.41,1,28,45.0,6.93
158,Benalla,AU,2176225,1584324082,-36.55,145.98,0,40,77.0,4.7
159,Varginha,BR,3445487,1584324051,-21.55,-45.43,91,94,65.55,3.69
160,Kathmandu,NP,1283240,1584324082,27.72,85.32,20,81,48.2,3.36
161,Jojoima,SL,2408399,1584324082,7.88,-10.79,86,92,74.95,0.92
162,Katsuura,JP,2112309,1584324023,35.13,140.3,75,57,55.99,10.29
163,Hilo,US,5855927,1584323922,19.73,-155.09,75,65,80.6,13.87
164,Tasiilaq,GL,3424607,1584324083,65.61,-37.64,100,50,8.6,19.46
165,Mateare,NI,3617697,1584324083,12.24,-86.43,20,58,82.4,6.93
166,Ilulissat,GL,3423146,1584324083,69.22,-51.1,93,47,-9.4,10.29
167,Sinnamary,GF,3380290,1584324083,5.38,-52.95,75,77,79.59,16.22
168,Vestmannaeyjar,IS,3412093,1584324083,63.44,-20.27,100,93,38.98,53.06
169,Waddān,LY,2209055,1584324084,29.16,16.14,0,64,57.74,6.51
170,Vega de Alatorre,MX,3514843,1584324084,20.03,-96.63,3,90,75.16,0.92
171,Barabai,ID,1650064,1584323831,-2.58,115.38,32,64,86.88,4.9
172,Thompson,CA,6165406,1584323850,55.74,-97.86,90,78,15.8,10.29
173,Narsaq,GL,3421719,1584323897,60.92,-46.05,100,53,21.2,3.36
174,Ingham,US,4997130,1584324037,42.6,-84.38,1,74,36.0,6.93
175,Caravelas,BR,3466980,1584324072,-17.71,-39.25,100,80,80.2,7.7
176,Pangnirtung,CA,6096551,1584324035,66.15,-65.71,100,91,-19.59,7.7
177,Geraldton,AU,2070998,1584323933,-28.77,114.6,75,69,75.2,6.93
178,Talnakh,RU,1490256,1584324018,69.49,88.4,75,83,-13.0,11.18
179,Mgachi,RU,2123292,1584324085,51.05,142.27,91,77,13.62,8.52
180,Vardø,NO,777019,1584324085,70.37,31.11,100,57,26.46,5.1
181,Rizhao,CN,1797132,1584324004,35.43,119.46,100,54,47.57,12.93
182,Tocopilla,CL,3869716,1584324054,-22.09,-70.2,0,53,58.78,2.62
183,Faya,SA,110690,1584324085,18.39,42.45,16,87,57.2,6.93
184,Antibes,FR,3037456,1584324003,43.56,7.13,0,66,55.0,9.17
185,Bredasdorp,ZA,1015776,1584323976,-34.53,20.04,76,68,66.2,13.87
186,Beloha,MG,1067565,1584323932,-25.17,45.05,51,97,70.34,8.3
187,Sovetskiy,RU,1491230,1584324086,61.36,63.58,10,76,9.09,5.73
188,Aklavik,CA,5882953,1584323845,68.22,-135.01,20,65,5.0,9.42
189,Fare,PF,4034496,1584324037,-16.7,-151.02,0,68,83.52,8.88
190,Taywarah,AF,1122464,1584324086,33.35,64.42,100,75,34.29,7.2
191,Kaitangata,NZ,2208248,1584324087,-46.28,169.85,100,72,55.99,3.0
192,Salalah,OM,286621,1584324087,17.02,54.09,20,69,75.2,4.7
193,Dukat,RU,2125906,1584324087,62.55,155.55,100,90,3.76,5.61
194,Amga,RU,2027786,1584324087,60.9,131.96,97,88,9.39,4.16
195,Tambovka,RU,2015608,1584324087,50.1,128.05,0,29,24.8,4.47
196,Acaraú,BR,3408368,1584324087,-2.89,-40.12,100,97,75.02,4.07
197,Morón,AR,3430545,1584324087,-34.65,-58.62,0,77,69.01,6.93
198,San Quintín,MX,3984997,1584324003,30.48,-115.95,0,77,59.22,12.15
199,San Patricio,MX,3985168,1584324088,19.22,-104.7,75,74,82.4,9.17
200,Banjarmasin,ID,1650213,1584324088,-3.32,114.59,27,58,88.47,1.81
201,Alofi,NU,4036284,1584324015,-19.06,-169.92,100,79,86.0,8.05
202,Skegness,GB,2637762,1584324088,53.14,0.34,0,93,43.0,8.05
203,Dingle,PH,1714733,1584324088,11.0,122.67,0,56,84.79,11.03
204,Half Moon Bay,US,5354943,1584324038,37.46,-122.43,75,61,52.0,5.82
205,Mazamari,PE,3935102,1584324089,-11.33,-74.53,70,86,62.87,4.14
206,Standish,US,5011020,1584324089,43.98,-83.96,1,58,28.99,10.29
207,Along,IN,1278969,1584323869,28.17,94.77,100,78,65.64,2.01
208,Hasaki,JP,2112802,1584324012,35.73,140.83,40,57,55.0,6.93
209,Presidencia Roque Sáenz Peña,AR,3840300,1584324089,-26.79,-60.44,64,95,71.33,4.83
210,Souillac,MU,933995,1584323949,-20.52,57.52,40,94,73.99,3.36
211,Bathsheba,BB,3374083,1584324089,13.22,-59.52,40,74,78.8,9.17
212,Isangel,VU,2136825,1584323919,-19.55,169.27,90,84,86.0,23.04
213,Yatou,CN,1786855,1584324090,37.15,122.38,17,46,38.68,11.05
214,Leningradskiy,RU,2123814,1584324090,69.38,178.42,0,73,13.6,4.23
215,Yulara,AU,6355222,1584324013,-25.24,130.99,0,9,84.2,8.05
216,Pringsewu,ID,1630639,1584324090,-5.36,104.97,17,69,84.25,4.92
217,Ulaangom,MN,1515029,1584323949,49.98,92.07,100,86,11.19,3.09
218,Quatre Cocos,MU,1106643,1584324090,-20.21,57.76,40,94,73.99,3.36
219,Bilibino,RU,2126682,1584324016,68.05,166.44,66,82,4.89,3.49
220,Santiago de Cali,CO,3687925,1584323934,3.44,-76.52,40,69,77.0,11.41
221,Sompeta,IN,1255816,1584324091,18.93,84.6,0,55,81.81,3.13
222,Omboué,GA,2396853,1584324091,-1.57,9.26,92,95,74.73,2.01
223,Mokhsogollokh,RU,2019867,1584324091,61.47,128.92,94,95,8.74,5.37
224,Megion,RU,1499053,1584324091,61.03,76.11,90,100,28.4,15.66
225,Mount Isa,AU,2065594,1584324091,-20.73,139.5,39,25,89.6,6.93
226,Honghu,CN,1789137,1584324092,29.82,113.46,92,56,62.56,4.7
227,Taltal,CL,3870243,1584324033,-25.4,-70.48,0,89,57.81,3.4
228,Al Bardīyah,LY,80509,1584324092,31.76,25.09,0,76,60.98,1.23
229,Saint George,US,5546220,1584323950,37.1,-113.58,1,51,62.6,11.41
230,Vanimo,PG,2084442,1584324092,-2.67,141.3,100,89,76.68,6.42
231,Arraial do Cabo,BR,3471451,1584324032,-22.97,-42.03,0,83,77.9,26.57
232,Yaviza,PA,3699980,1584324092,8.15,-77.69,24,91,70.25,2.89
233,Port-Gentil,GA,2396518,1584324038,-0.72,8.78,100,79,82.35,7.99
234,Umba,RU,479071,1584324093,66.69,34.34,100,97,31.93,19.33
235,Margate,GB,2643044,1584323917,51.38,1.39,18,93,46.99,5.82
236,Klyuchi,RU,1503153,1584324093,52.27,79.17,100,95,34.83,12.12
237,Emerald,AU,2167426,1584324006,-23.53,148.17,0,47,82.0,12.75
238,Honolulu,US,5856195,1584324074,21.31,-157.86,90,83,80.6,6.93
239,Ha Giang,VN,1581349,1584324093,22.83,104.98,100,88,64.29,4.07
240,Ţaga,RO,665628,1584324094,46.95,24.05,0,79,24.8,3.36
241,Berlevåg,NO,780687,1584324025,70.86,29.09,100,64,29.03,11.18
242,Bose,IT,6457397,1584324094,45.46,8.01,75,75,48.99,2.24
243,Vao,NC,2137773,1584324094,-22.67,167.48,10,72,81.21,28.14
244,Grand Gaube,MU,934479,1584323972,-20.01,57.66,40,94,73.99,3.36
245,Kandrian,PG,2094746,1584324094,-6.22,149.55,100,55,88.59,8.25
246,Alyangula,AU,2079582,1584324094,-13.85,136.42,5,43,91.4,6.93
247,Saint-Pierre,RE,935214,1584324019,-21.34,55.48,13,78,78.8,14.99
248,Kruisfontein,ZA,986717,1584324012,-34.0,24.73,100,88,60.33,10.02
249,Sarkand,KZ,1519691,1584324095,45.41,79.92,99,41,44.87,5.28
250,Cullinan,ZA,1012413,1584324095,-25.67,28.52,0,88,66.99,6.93
251,Chui,UY,3443061,1584323575,-33.7,-53.46,99,74,61.84,4.61
252,Saskylakh,RU,2017155,1584324095,71.92,114.08,100,95,-12.32,20.71
253,Port-Cartier,CA,6111696,1584324095,50.03,-66.87,90,47,15.8,13.87
254,Makakilo City,US,5850554,1584323989,21.35,-158.09,90,83,80.6,6.93
255,Rāyadrug,IN,1258290,1584324096,14.7,76.87,29,53,79.36,8.1
256,Roebourne,AU,2062276,1584324096,-20.78,117.13,0,28,97.88,3.91
257,Kharp,RU,1503726,1584324096,66.8,65.81,100,86,-5.98,3.15
258,Kavaratti,IN,1267390,1584324042,10.57,72.64,0,68,82.6,5.5
259,Ihosy,MG,1064275,1584324096,-22.4,46.12,47,97,61.68,6.69
260,Ambilobe,MG,1082243,1584324096,-13.2,49.05,100,90,77.67,3.62
261,Sungai Penuh,ID,1625929,1584324096,-2.08,101.38,62,68,75.18,3.15
262,Kiryat Gat,IL,293842,1584324097,31.61,34.76,37,93,57.99,3.36
263,Padang,ID,1633419,1584324097,-0.95,100.35,25,56,84.29,1.95
264,Asău,RO,686090,1584323978,46.43,26.4,0,73,23.0,2.17
265,Muslyumovo,RU,524183,1584324097,55.3,53.19,100,98,31.78,13.69
266,Yinchuan,CN,1786657,1584324097,38.47,106.27,100,13,51.3,3.87
267,Ustka,PL,3082756,1584324097,54.58,16.86,100,57,38.08,16.11
268,Bom Jesus,BR,3405304,1584324046,-9.07,-44.36,100,91,73.2,2.37
269,Kudahuvadhoo,MV,1337607,1584324097,2.67,72.89,0,65,83.77,6.26
270,Aykhal,RU,2027296,1584323941,66.0,111.5,90,92,23.0,8.95
271,Sémbé,CG,2255304,1584324098,1.65,14.58,57,80,72.52,3.98
272,Kirakira,SB,2178753,1584324098,-10.45,161.92,100,75,82.31,6.67
273,Nizwá,OM,286987,1584324007,22.93,57.53,0,53,59.68,1.77
274,Philadelphia,US,4560349,1584323934,39.95,-75.16,1,30,46.4,4.7
275,Kollam,IN,1259091,1584324099,8.88,76.6,20,88,78.8,3.36
276,Chapais,CA,5919850,1584324021,49.78,-74.85,1,76,-7.6,0.89
277,Samarai,PG,2132606,1584324099,-10.62,150.67,2,51,90.34,3.89
278,Kumul,CN,1529484,1584324037,42.8,93.45,0,18,47.59,3.09
279,Muscatine,US,4868410,1584324099,41.47,-91.13,90,69,36.0,9.17
280,Atasū,KZ,1526041,1584324099,48.68,71.64,100,76,36.52,3.06
281,Zhigansk,RU,2012530,1584323981,66.77,123.37,100,93,4.03,25.43
282,Sibolga,ID,1213855,1584324100,1.74,98.78,31,58,86.31,2.68
283,Sfântu Gheorghe,RO,667303,1584324100,45.87,25.78,0,61,25.0,1.99
284,Wanning,CN,1791779,1584324100,18.8,110.4,100,83,74.95,9.98
285,Urucará,BR,3385670,1584324100,-2.54,-57.76,77,95,72.68,3.11
286,Anloga,GH,2304548,1584324101,5.79,0.9,42,83,82.15,11.59
287,Bandar,ID,1215498,1584324101,2.05,99.75,2,85,82.17,2.66
288,Naze,JP,1855540,1584323997,28.37,129.48,40,48,62.6,20.8
289,Umm Kaddadah,SD,364933,1584324102,13.6,26.69,18,20,65.89,10.51
290,Guerrero Negro,MX,4021858,1584323963,27.98,-114.06,0,72,60.51,15.5
291,Deputatsky,RU,2028164,1584324102,69.3,139.9,0,81,-16.01,3.56
292,Lebyazh'ye,RU,1500764,1584324102,55.27,66.49,0,93,27.1,6.06
293,Mahon,ES,2514301,1584324102,39.89,4.27,99,87,55.4,12.75
294,Los Llanos de Aridane,ES,2514651,1584324027,28.66,-17.92,40,68,64.4,16.11
295,Sitka,US,5557293,1584323924,57.05,-135.33,1,65,44.6,8.23
296,Hammerfest,NO,779683,1584324103,70.66,23.68,100,73,21.2,14.99
297,Nikol'sk,RU,521776,1584324103,53.72,46.07,100,95,30.09,11.48
298,Fort Saint James,CA,5881688,1584324103,54.43,-124.25,0,86,15.19,2.89
299,Gambēla,ET,337405,1584324103,8.25,34.58,99,51,80.6,2.19
300,Luganville,VU,2136150,1584324103,-15.53,167.17,90,53,95.0,4.7
301,Iki-Burul,RU,557413,1584324103,45.82,44.65,100,54,30.2,6.71
302,Florence,IT,3176959,1584324104,43.77,11.25,0,64,46.99,1.12
303,Kargasok,RU,1504382,1584324104,59.06,80.86,100,97,32.72,19.46
304,Iberia,US,4328254,1584324104,29.95,-91.75,20,94,73.99,11.41
305,Lompoc,US,5367788,1584324001,34.64,-120.46,90,87,55.4,5.82
306,Lata,PT,2738381,1584324104,40.16,-8.33,40,75,46.99,1.12
307,Necochea,AR,3430443,1584323906,-38.55,-58.74,0,86,51.01,4.32
308,Nanchang,CN,1800163,1584324105,28.68,115.88,79,57,63.93,9.6
309,Pingliang,CN,1798760,1584324105,35.54,106.69,100,24,42.4,8.21
310,Sisimiut,GL,3419842,1584324105,66.94,-53.67,94,95,-11.81,6.73
311,Bella Union,UY,3443631,1584324105,-30.28,-57.6,91,80,67.41,6.69
312,Virginia Beach,US,4791259,1584323873,36.85,-75.98,90,70,48.2,10.29
313,Bubaque,GW,2374583,1584324105,11.28,-15.83,32,55,81.64,19.04
314,Chengde,CN,2038087,1584324105,40.97,117.94,0,41,39.83,9.89
315,Barabinsk,RU,1510916,1584324105,55.36,78.36,98,83,33.19,25.64
316,Tiksi,RU,2015306,1584324016,71.69,128.87,100,81,9.09,20.58
